name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
Apollo Pharmacy Ramamurthy Nagar,"Shop No 2, Ground Floor Ward No 51, East, NGEF Layout, Vijinapura, Bengaluru, Karnataka 560016",apollopharmacy.in,091084 67350,13.022438,77.6445131,pharmacy,,
Trust Pharmacy,"Ground Floor, SN 3 & 4, No 32/5 & 32/6, Kalkere, 9th Main Rd, Ramamurthy Nagar, Bengaluru, Karnataka 560016",apollopharmacy.in,080 2847 4483,13.022438,77.6445131,pharmacy,,
Brundavan Medical & General Store,"XJC5+3WM, Ashok Nagar, Bengaluru, Karnataka 560025",,,12.9702089,77.573763,pharmacy,,
Apollo Pharmacy Green Glen Layout 1,"Immadihalli Main Rd, Vinayaka Layout, Whitefield, Bengaluru, Karnataka 560066",,096633 96868,12.9687003,77.7191961,pharmacy,,
Apollo Pharmacy,"Ground Floor, Site No 162/1, Sy No 84 2, Green Glen Layout, Bellandur, Bengaluru, Karnataka 560103",apollopharmacy.in,080 2574 7888,12.9273353,77.6334014,pharmacy,,
Apollo Pharmacy Kasturi Nagar,"13, Kalkere Main Road, Akshaya Nagar 2nd Block, Muneshwara Nagar, Ramamurthy Nagar, Bengaluru, Karnataka 560016",apollopharmacy.in,093552 47247,13.0173613,77.6421085,pharmacy,,
Apollo Pharmacy Domlur,"No 5M/102, Ground Floor, East of NGEF Layout, Kasturi Nagar, Bengaluru, Karnataka 560043",apollopharmacy.in,080 2295 1512,13.0048577,77.6255668,pharmacy,,
Prestige Pharmacy,"Ground Floor, 9/1, Intermediate Ring Rd, AK Colony, Domlur, Bengaluru, Karnataka 560071",apollopharmacy.in,080 2295 7439,12.958243,77.6051841,pharmacy,,
Dilip Pharmacy,"XQF9+XW3, Pattandur Agrahara Gutta Rd, Nagondanahalli, Bengaluru, Karnataka 560067",,,12.9748777,77.7337524,pharmacy,,
Apollo Pharmacy Dooravani Nagar,"Shop No. 174, KBAR Road, Austin Town, Someshwarpura, Ulsoor, Karnataka 560047",,,12.9751256,77.5858175,pharmacy,,
Apollo Pharmacy Alpine Apartment Road Doddanekkundi,"No 2, Ground Floor, opposite sunflower School, Sakshi Nagar, Pai Layout, Dooravani Nagar, Bengaluru, Karnataka 560016",apollopharmacy.in,080 4091 4726,12.9941597,77.6309837,pharmacy,,
,"Shop No.1,2&3, Ground Floor, 12/2, Alpine Eco Rd, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037",,,12.9726093,77.6645296,pharmacy,,
